ID_g;ID_File;LWD63;LWD125;LWD250;LWD500;LWD1000;LWD2000;LWD4000;LWD8000;P10;P25;P50;P75;P90;Alpha;T
0;0;28,5800321;23,22039705;33,02951432;32,6073498;23,42452795;13,80562885;9,189914635;10,85698554;-90,3089987;-84,28839879;-73,4070379;-65,70002027;-62,00953174;0;1
1;0;34,35424332;35,35305491;39,28524319;39,25263748;32,42237835;22,07188221;14,68940499;13,93974783;-78,26779887;-70,3089987;-63,8646128;-59,18294868;-55,50174491;0,5;2
2;0;41,52542728;39,8914353;46,55278991;48,46888602;41,64075148;35,70065459;18,55142459;15,26823276;-71,22414851;-63,07444198;-56,15759518;-50,84644163;-47,20227795;1;3
3;0;45,43636393;44,91818262;50,81487173;50,78134338;45,09195805;39,96359775;23,62663871;18,53158473;-67,38643799;-59,18294868;-52,46710665;-47,14174886;-43,82334959;1,5;4
4;0;46,84684195;48,61257023;56,31731322;51,86752744;47,05954887;38,42505456;26,70331421;21,46986524;-64,28839879;-55,98893183;-49,17090167;-44,15907794;-40,59457017;2;5
5;0;48,12195333;52,72858513;60,55259119;57,31928522;48,95574261;42,88373457;30,75973935;29,62011514;-59,18294868;-51,03324215;-44,73392668;-39,96508074;-36,66609717;2,5;6
6;0;51,60843724;59,41244786;64,77963438;63,6167225;53,13816684;52,17404897;37,69494391;31,89010827;-55,50174491;-47,20227795;-40,23318504;-34,93623667;-31,30170161;3;7
7;0;49,74826376;56,23639445;64,68954264;69,00324705;64,50532785;60,26134132;49,18032448;43,6701882;-50,66357404;-42,52567701;-35,53338753;-30,59149155;-27,47937632;3,5;8
8;0;48,25265655;59,98150109;65,61978707;64,51372572;57,63817637;51,09536173;42,26764245;35,83703972;-53,4070379;-45,01264224;-38,5547794;-33,73580077;-30,37876526;4;9
9;0;51,65425313;61,02357484;67,69508501;66,81143952;59,57264194;58,33301823;48,94669147;37,59473834;-50,48447719;-42,66865785;-36,45206031;-31,52860317;-28,1580161;4,5;10
10;0;49,04153228;56,25824811;66,45588761;61,23852909;57,95732453;50,85837288;39,13690687;33,3416064;-54,46116491;-46,22659905;-39,70500474;-34,9956276;-31,06161199;5;11
11;0;50,7335993;56,22943899;68,27426328;68,92848391;60,42752562;51,3651625;41,98752119;32,27752189;-53,67168867;-45,34953337;-38,13847803;-32,18229786;-27,43621399;5,5;12
12;0;51,17544988;56,53023166;72,61918454;65,28749552;60,87690937;52,98911521;44,79948801;38,08434318;-50,22257122;-42,21232437;-35,17627653;-30,0606912;-25,78680044;6;13
13;0;52,071657;60,11198185;66,81188251;66,91431202;60,95636901;54,04837244;47,3104794;37,5314452;-50,84644163;-42,81403178;-36,39936517;-31,63925294;-28,27405722;6,5;14
14;0;51,07134803;55,10740685;61,26604461;62,24162772;59,26437829;48,0160612;40,03773083;39,81874918;-56,15759518;-48,03013165;-41,42810278;-36,61209147;-33,02946375;7;15
15;0;52,09205372;53,91396175;63,09756478;62,4262505;56,04886499;45,01236966;36,21916769;39,02720554;-56,15759518;-48,03013165;-41,30401653;-36,52282152;-32,94787146;7,5;16
16;0;52,83595376;59,90985705;69,41813576;66,03720918;59,39316907;52,77110001;44,45852449;35,31610418;-50,58256502;-42,49029656;-35,90581263;-31,06161199;-27,87780182;8;17
